
Computing per-depth ceilings (total reachable branches)...
  depth 2: 66 total branches
  depth 4: 76 total branches
  depth 6: 86 total branches
  depth 8: 96 total branches

Running 36 (depth×strategy×seed) jobs on gemma-4-31B-it (parallel 12)...
2026-09-22 15:12:49,172 INFO: Plan 1: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:12:49,172 INFO: Selected plan 1 with Q=19.5
2026-09-22 15:13:00,104 INFO: Plan 0: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:13:00,127 INFO: Plan 1: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:13:00,127 INFO: Plan 2: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:13:00,128 INFO: Selected plan 0 with Q=17.0
2026-09-22 15:13:03,233 INFO: Plan 2: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:13:03,259 INFO: Plan 0: ḡ=12, γE[v]=4.0, Q=16.0
2026-09-22 15:13:03,260 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:13:03,260 INFO: Selected plan 0 with Q=16.0
2026-09-22 15:13:04,797 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:13:04,819 INFO: Plan 0: ḡ=12, γE[v]=2.5, Q=14.5
2026-09-22 15:13:04,820 INFO: Plan 1: ḡ=12, γE[v]=4.0, Q=16.0
2026-09-22 15:13:04,820 INFO: Selected plan 1 with Q=16.0
2026-09-22 15:13:05,905 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:13:05,947 INFO: Plan 0: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:13:05,947 INFO: Plan 2: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:13:05,948 INFO: Selected plan 0 with Q=17.0
2026-09-22 15:13:11,068 INFO: Plan 1: ḡ=12, γE[v]=9.0, Q=21.0
2026-09-22 15:13:11,089 INFO: Plan 0: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:13:11,090 INFO: Plan 2: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:13:11,091 INFO: Selected plan 1 with Q=21.0
2026-09-22 15:13:19,759 INFO: Plan 2: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:13:19,760 INFO: Plan 1: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:13:19,761 INFO: Plan 0: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:13:19,761 INFO: Selected plan 0 with Q=19.5
2026-09-22 15:13:23,985 INFO: Plan 2: ḡ=12, γE[v]=4.0, Q=16.0
2026-09-22 15:13:24,005 INFO: Plan 0: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:13:24,025 INFO: Plan 1: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:13:24,025 INFO: Selected plan 0 with Q=17.0
2026-09-22 15:13:31,560 INFO: Plan 0: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:13:31,584 INFO: Plan 1: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:13:31,585 INFO: Plan 2: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:13:31,588 INFO: Selected plan 0 with Q=19.5
2026-09-22 15:13:35,116 INFO: Plan 0: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:13:35,117 INFO: Plan 1: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:13:35,117 INFO: Plan 2: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:13:35,118 INFO: Selected plan 0 with Q=19.5
2026-09-22 15:13:41,654 INFO: Plan 2: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:13:41,655 INFO: Plan 0: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:13:41,676 INFO: Plan 1: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:13:41,676 INFO: Selected plan 0 with Q=19.5
2026-09-22 15:13:51,042 INFO: Plan 0: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:13:51,063 INFO: Plan 1: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:13:51,063 INFO: Plan 2: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:13:51,064 INFO: Selected plan 0 with Q=19.5
2026-09-22 15:13:51,795 INFO: Plan 0: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:13:51,815 INFO: Plan 1: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:13:51,815 INFO: Plan 2: ḡ=12, γE[v]=6.0, Q=18.0
2026-09-22 15:13:51,816 INFO: Selected plan 0 with Q=19.5
2026-09-22 15:13:58,846 INFO: Plan 0: ḡ=12, γE[v]=4.0, Q=16.0
2026-09-22 15:13:58,866 INFO: Plan 1: ḡ=12, γE[v]=9.0, Q=21.0
2026-09-22 15:13:58,884 INFO: Plan 2: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:13:58,885 INFO: Selected plan 1 with Q=21.0
2026-09-22 15:14:09,047 INFO: Plan 2: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:14:09,048 INFO: Plan 1: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:14:09,065 INFO: Plan 0: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:14:09,065 INFO: Selected plan 1 with Q=19.5
2026-09-22 15:14:11,542 INFO: Plan 2: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:14:11,543 INFO: Plan 1: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:14:11,543 INFO: Plan 0: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:14:11,544 INFO: Selected plan 0 with Q=19.5
2026-09-22 15:14:17,309 INFO: Plan 1: ḡ=10, γE[v]=7.5, Q=17.5
2026-09-22 15:14:17,310 INFO: Plan 0: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:14:17,327 INFO: Plan 2: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:14:17,328 INFO: Selected plan 0 with Q=19.5
2026-09-22 15:14:25,909 INFO: Plan 0: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:14:25,909 INFO: Plan 1: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:14:25,927 INFO: Plan 2: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:14:25,928 INFO: Selected plan 0 with Q=19.5
2026-09-22 15:14:26,910 INFO: Plan 1: ḡ=1, γE[v]=7.5, Q=8.5
2026-09-22 15:14:26,929 INFO: Plan 2: ḡ=12, γE[v]=4.0, Q=16.0
2026-09-22 15:14:26,930 INFO: Plan 0: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:14:26,931 INFO: Selected plan 0 with Q=19.5
2026-09-22 15:14:35,939 INFO: Plan 1: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:14:35,958 INFO: Plan 0: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:14:35,959 INFO: Plan 2: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:14:35,959 INFO: Selected plan 0 with Q=17.0
2026-09-22 15:14:40,244 INFO: Plan 0: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:14:40,261 INFO: Plan 2: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:14:40,278 INFO: Plan 1: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:14:40,279 INFO: Selected plan 1 with Q=19.5

======================================================================
Exp 10 LLM condition — branches (mean over seeds) / % of ceiling
======================================================================
  depth  ceil         random   cov_greedy   cov_qvalue
      2    66    26.0/  39%   49.3/  75%   64.0/  97% 
      4    76    12.3/  16%   38.3/  50%   48.7/  64% 
      6    86    12.7/  15%   19.7/  23%   58.0/  67% 
      8    96    27.3/  28%   33.3/  35%   34.0/  35% 

Saved to /share/edc/home/aamayuelasfernandez/qcurious-tester/results/repo_explore_bench/hidden_corridor_baselines.json
